content_id,city,district,place_name,category,address,description,image_url,map_x,map_y,tags,mood,walking_level,budget_level,crowd_level,visit_count,avg_satisfaction,avg_recommendation,avg_revisit,avg_residence_time,avg_payment
POI01000TR021271V,제주특별자치도,서귀포시,서귀포 매일 올레시장,상업지구,제주특별자치도 서귀포시 중앙로62번길 18,"AI Hub 여행로그 경량 데이터에서 42회 방문된 상업지구 유형의 여행지입니다. 평균 만족도 4.3, 추천 의향 4.1.",,126.5632316,33.2501501,쇼핑|시장|맛집,활기|캐주얼,보통,보통,높음,42,4.261904761904762,4.095238095238095,4.095238095238095,55.0,27917.146401621278
POI01000TR015417V,제주특별자치도,제주시,함덕해수욕장,자연관광지,제주특별자치도 제주시 조천읍 조함해안로 525,"AI Hub 여행로그 경량 데이터에서 34회 방문된 자연관광지 유형의 여행지입니다. 평균 만족도 4.5, 추천 의향 4.4.",,126.66931361764706,33.54306614705882,자연|사진|힐링|만족도높음,힐링|여유,보통,보통,높음,34,4.529411764705882,4.411764705882353,4.411764705882353,64.41176470588235,24869.28094703011
POI01000TR022416V,제주특별자치도,제주시,협재해수욕장,자연관광지,제주특별자치도 제주시 한림읍 한림로 329-10,"AI Hub 여행로그 경량 데이터에서 30회 방문된 자연관광지 유형의 여행지입니다. 평균 만족도 4.6, 추천 의향 4.5.",,126.2391575,33.3938661,자연|사진|힐링|만족도높음,힐링|여유,보통,보통,높음,30,4.633333333333334,4.466666666666667,4.5,69.0,30773.260595826443
POI01000TR021924V,제주특별자치도,제주시,제주동문시장,상업지구,제주특별자치도 제주시 동문로 16,"AI Hub 여행로그 경량 데이터에서 30회 방문된 상업지구 유형의 여행지입니다. 평균 만족도 4.1, 추천 의향 4.3.",,126.5283034,33.512784,쇼핑|시장|맛집,활기|캐주얼,보통,보통,높음,30,4.133333333333334,4.3,4.166666666666667,47.0,28019.94268037518
POI01000TR002346V,대전광역시,중구,성심당 본점,식당카페,대전 중구 대종로480번길 15,"AI Hub 여행로그 경량 데이터에서 29회 방문된 식당카페 유형의 여행지입니다. 평균 만족도 4.6, 추천 의향 4.8.",,127.42727720000002,36.327658,맛집|카페|만족도높음|추천의향높음,캐주얼|감성,낮음,보통,높음,29,4.620689655172414,4.758620689655173,4.620689655172414,35.172413793103445,31363.54689749023
POI01000TR030726V,부산광역시,수영구,광안리해수욕장,자연관광지,부산 수영구 광안해변로 219,"AI Hub 여행로그 경량 데이터에서 24회 방문된 자연관광지 유형의 여행지입니다. 평균 만족도 4.8, 추천 의향 5.0.",,129.1189761,35.1531933,자연|사진|힐링|만족도높음|추천의향높음,힐링|여유,보통,보통,높음,24,4.791666666666667,4.958333333333333,4.791666666666667,56.25,27138.304688164124
POI01000000BZHR1F,전라남도,여수시,이순신광장,상업지구,전남 여수시 중앙동 383,"AI Hub 여행로그 경량 데이터에서 24회 방문된 상업지구 유형의 여행지입니다. 평균 만족도 4.2, 추천 의향 4.0.",,127.7360499,34.7394476,쇼핑|시장|맛집,활기|캐주얼,낮음,보통,높음,24,4.208333333333333,3.9583333333333335,4.0,42.5,29993.822719503867
POI01000TR022576V,경상북도,경주시,황련단길,상업지구,경북 경주시 태종로 746,"AI Hub 여행로그 경량 데이터에서 24회 방문된 상업지구 유형의 여행지입니다. 평균 만족도 4.0, 추천 의향 4.2.",,129.2096454,35.8393348,쇼핑|시장|맛집,활기|캐주얼,보통,보통,높음,24,4.0,4.208333333333333,4.208333333333333,60.0,26568.947771690007
POI01000TR014438V,제주특별자치도,서귀포시,성산일출봉,자연관광지,제주특별자치도 서귀포시 성산읍 성산리 78,"AI Hub 여행로그 경량 데이터에서 21회 방문된 자연관광지 유형의 여행지입니다. 평균 만족도 4.5, 추천 의향 4.5.",,126.9405375,33.459135,자연|사진|힐링,힐링|여유,보통,보통,높음,21,4.476190476190476,4.476190476190476,4.523809523809524,57.142857142857146,27686.980644355644
POI01000TR003385V,경상북도,경주시,첨성대,역사문화,경북 경주시 인왕동 910-30,"AI Hub 여행로그 경량 데이터에서 19회 방문된 역사문화 유형의 여행지입니다. 평균 만족도 4.5, 추천 의향 4.5.",,129.2190202,35.834718,역사문화|전통|사진|만족도높음|추천의향높음,전통|차분함,낮음,보통,높음,19,4.526315789473684,4.526315789473684,4.526315789473684,42.63157894736842,32013.303386809264
